Stichtag;Geschlecht;Staatsangehörigkeit;Bundesland Schlüssel;Bundesland;Berufsabschluss;Sozialversicherungspflichtig Beschäftigte (SvB)
Apr 25;Frauen;Deutsche;6000000;Hessen;Ohne Berufsabschluss;107.900
Apr 25;Frauen;Deutsche;6000000;Hessen;Anerkannter Berufsabschluss;629.370
Apr 25;Frauen;Deutsche;6000000;Hessen;Akademischer Berufsabschluss;255.540
Apr 25;Frauen;Deutsche;7000000;Rheinland-Pfalz;Ohne Berufsabschluss;67.830
Apr 25;Frauen;Deutsche;7000000;Rheinland-Pfalz;Anerkannter Berufsabschluss;419.220
Apr 25;Frauen;Deutsche;7000000;Rheinland-Pfalz;Akademischer Berufsabschluss;97.590
Apr 25;Frauen;Deutsche;8000000;Baden-Württemberg;Ohne Berufsabschluss;194.840
Apr 25;Frauen;Deutsche;8000000;Baden-Württemberg;Anerkannter Berufsabschluss;1.198.750
Apr 25;Frauen;Deutsche;8000000;Baden-Württemberg;Akademischer Berufsabschluss;405.430
Apr 25;Frauen;Deutsche;9000000;Bayern;Ohne Berufsabschluss;199.840
Apr 25;Frauen;Deutsche;9000000;Bayern;Anerkannter Berufsabschluss;1.531.120
Apr 25;Frauen;Deutsche;9000000;Bayern;Akademischer Berufsabschluss;481.120
Apr 25;Frauen;Deutsche;10000000;Saarland;Ohne Berufsabschluss;17.390
Apr 25;Frauen;Deutsche;10000000;Saarland;Anerkannter Berufsabschluss;109.410
Apr 25;Frauen;Deutsche;10000000;Saarland;Akademischer Berufsabschluss;23.850
Apr 25;Frauen;Deutsche;11000000;Berlin;Ohne Berufsabschluss;61.910
Apr 25;Frauen;Deutsche;11000000;Berlin;Anerkannter Berufsabschluss;330.080
Apr 25;Frauen;Deutsche;11000000;Berlin;Akademischer Berufsabschluss;226.350
Apr 25;Frauen;Deutsche;12000000;Brandenburg;Ohne Berufsabschluss;28.200
Apr 25;Frauen;Deutsche;12000000;Brandenburg;Anerkannter Berufsabschluss;268.440
Apr 25;Frauen;Deutsche;12000000;Brandenburg;Akademischer Berufsabschluss;63.890
Apr 25;Frauen;Deutsche;13000000;Mecklenburg-Vorpommern;Ohne Berufsabschluss;20.340
Apr 25;Frauen;Deutsche;13000000;Mecklenburg-Vorpommern;Anerkannter Berufsabschluss;194.800
Apr 25;Frauen;Deutsche;13000000;Mecklenburg-Vorpommern;Akademischer Berufsabschluss;42.370
Apr 25;Frauen;Deutsche;14000000;Sachsen;Ohne Berufsabschluss;47.030
Apr 25;Frauen;Deutsche;14000000;Sachsen;Anerkannter Berufsabschluss;501.370
Apr 25;Frauen;Deutsche;14000000;Sachsen;Akademischer Berufsabschluss;147.800
Apr 25;Frauen;Deutsche;15000000;Sachsen-Anhalt;Ohne Berufsabschluss;23.940
Apr 25;Frauen;Deutsche;15000000;Sachsen-Anhalt;Anerkannter Berufsabschluss;266.420
Apr 25;Frauen;Deutsche;15000000;Sachsen-Anhalt;Akademischer Berufsabschluss;54.310
Apr 25;Frauen;Deutsche;16000000;Thüringen;Ohne Berufsabschluss;21.560
Apr 25;Frauen;Deutsche;16000000;Thüringen;Anerkannter Berufsabschluss;258.090
Apr 25;Frauen;Deutsche;16000000;Thüringen;Akademischer Berufsabschluss;57.040
Mrz 25;Frauen;Ausländer;1000000;Schleswig-Holstein;Ohne Berufsabschluss;11.300
